"id";"ship";"imo";"updated";"lat";"long";"sog";"cog";"hdg";"depPort";"arrPort";"etdSchedule";"etd";"atd";"etaSchedule";"eta";"ata";"travel_time_hours";"departure_delay_hours";"arrival_delay_hours";"departed_on_time";"arrived_on_time";"has_complete_voyage"
4136;Megastar;9773064;"2018-04-05 19:18";60.1469;24.9135;6.3;219;216;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:23";698.08;-44.18;-0.03;on time;on time;complete
4137;Megastar;9773064;"2018-04-05 19:19";60.1445;24.91;11.6;217;217;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:29";698.18;-44.18;0.07;on time;late arrival;complete
4138;Megastar;9773064;"2018-04-05 19:20";60.1412;24.9061;14.2;198;199;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:30";698.19;-44.18;0.08;on time;late arrival;complete
4139;Star;9364722;"2018-04-05 19:21";59.4462;24.7726;3.7;17;159;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:26";"2018-05-04 21:46";698.41;-44.06;0.33;on time;late arrival;complete
4140;Megastar;9773064;"2018-04-05 19:22";60.1344;24.9056;15.9;179;179;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:32";698.23;-44.18;0.12;on time;late arrival;complete
4141;Star;9364722;"2018-04-05 19:22";59.4469;24.7728;2.8;354;107;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:26";"2018-05-04 22:13";698.86;-44.06;0.78;on time;late arrival;complete
4142;Megastar;9773064;"2018-04-05 19:22";60.1322;24.9056;16.1;181;181;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:32";698.23;-44.18;0.12;on time;late arrival;complete
4143;Star;9364722;"2018-04-05 19:23";59.4478;24.7746;6.0;46;52;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:31";698.16;-44.06;0.07;on time;late arrival;complete
4144;Megastar;9773064;"2018-04-05 19:23";60.1272;24.9055;17.0;181;181;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:33";698.24;-44.18;0.13;on time;late arrival;complete
4145;Star;9364722;"2018-04-05 19:24";59.4496;24.7773;11.6;23;22;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:22";698.01;-44.06;-0.08;on time;on time;complete
4146;Megastar;9773064;"2018-04-05 19:24";60.1217;24.9053;18.4;182;182;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:31";698.21;-44.18;0.1;on time;late arrival;complete
4147;Megastar;9773064;"2018-04-05 19:25";60.1159;24.905;19.2;182;182;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:25";698.11;-44.18;0.0;on time;on time;complete
4148;Star;9364722;"2018-04-05 19:24";59.4517;24.7782;13.7;9;6;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:26";698.08;-44.06;-0.02;on time;on time;complete
4149;Megastar;9773064;"2018-04-05 19:27";60.11;24.904;19.7;187;187;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:21";698.04;-44.18;-0.07;on time;on time;complete
4150;Star;9364722;"2018-04-05 19:26";59.4575;24.7768;17.7;350;349;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:24";698.05;-44.06;-0.05;on time;on time;complete
4151;Megastar;9773064;"2018-04-05 19:28";60.1041;24.902;20.7;190;189;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:27";698.14;-44.18;0.03;on time;late arrival;complete
4152;Star;9364722;"2018-04-05 19:26";59.4621;24.7746;18.4;348;347;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:26";698.08;-44.06;-0.02;on time;on time;complete
4153;Megastar;9773064;"2018-04-05 19:29";60.0978;24.9006;21.3;185;185;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:31";698.21;-44.18;0.12;on time;late arrival;complete
4154;Star;9364722;"2018-04-05 19:28";59.47;24.771;19.6;350;349;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:28";698.11;-44.06;0.02;on time;late arrival;complete
4155;Star;9364722;"2018-04-05 19:29";59.4746;24.7692;19.8;350;350;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:24";698.05;-44.06;-0.05;on time;on time;complete
4156;Megastar;9773064;"2018-04-05 19:30";60.0899;24.8991;21.9;185;184;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:33";698.24;-44.18;0.13;on time;late arrival;complete
4157;Star;9364722;"2018-04-05 19:30";59.4831;24.7657;21.0;349;348;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:34";698.21;-44.06;0.12;on time;late arrival;complete
4158;Megastar;9773064;"2018-04-05 19:31";60.0832;24.8981;22.0;184;184;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:34";698.26;-44.18;0.15;on time;late arrival;complete
4159;Star;9364722;"2018-04-05 19:31";59.4897;24.7625;21.7;346;346;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:25";698.06;-44.06;-0.03;on time;on time;complete
4160;Megastar;9773064;"2018-04-05 19:32";60.0759;24.8976;22.3;181;181;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:23";698.08;-44.18;-0.03;on time;on time;complete
4161;Star;9364722;"2018-04-05 19:32";59.4963;24.7588;22.2;345;343;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:32";698.18;-44.06;0.08;on time;late arrival;complete
4162;Megastar;9773064;"2018-04-05 19:33";60.0716;24.8975;22.4;181;181;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:25";"2018-05-04 21:33";698.24;-44.18;0.13;on time;late arrival;complete
4163;Star;9364722;"2018-04-05 19:33";59.5029;24.7545;22.2;342;342;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:28";698.11;-44.06;0.02;on time;late arrival;complete
4164;Megastar;9773064;"2018-04-05 19:34";60.0647;24.8972;22.6;181;181;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:31";698.21;-44.18;0.12;on time;late arrival;complete
4165;Star;9364722;"2018-04-05 19:35";59.5091;24.7504;22.4;344;342;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:30";698.15;-44.06;0.05;on time;late arrival;complete
4166;Megastar;9773064;"2018-04-05 19:35";60.058;24.8971;22.4;181;181;FIHEL;EETLL;"2018-04-05 19:30";"2018-04-07 15:29";"2018-04-05 19:18:20";"2018-04-05 21:30";"2018-05-04 21:24";"2018-05-04 21:22";698.06;-44.18;-0.03;on time;on time;complete
4167;Star;9364722;"2018-04-05 19:36";59.5157;24.7459;22.5;343;342;EETLL;FIHEL;"2018-04-05 19:30";"2018-04-07 15:25";"2018-04-05 19:21:17";"2018-04-05 21:30";"2018-05-04 21:27";"2018-05-04 21:26";698.08;-44.06;-0.02;on time;on time;complete
